CONFIG	days	10000	calibration	1	schedule	1	seed	20260828	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
POPULATION_HEADER	composition	heads	goal	fields	seats	engine_edge_pct	goal_seat_pct	all_bust_field_pct	random_winner_pct	picked_winner_pct	bounty_winner_pct	common_field_pct	rare_field_pct	common_per_entry_pct	rare_per_entry_pct	winner_peak_p95_x	winner_peak_p995_x	qualified_peak_p95_x	qualified_peak_p995_x	ending_p50_x	ending_p99_x	max_peak_x	max_ending_x	mean_hands	hands_p99	max_hands	mean_rolls	rolls_p99	max_rolls	mean_work_units	work_p99	max_work_units	cap_seat_pct	record_floor_x	record_hits	first_year_record_hits	final_record_x	dice_only_record_paid	dice_only_record_pool_end
POPULATION	one_bounty_vs_random	2	5	200000	400000	29.794517	9.914750	82.736000	48.193000	0.000000	51.807000	0.305000	0.026000	0.152500	0.013000	7.504000	20.217000	15.362000	54.741300	0.000000	8.100000	24441.091200	12316.933300	8.265945	15	49	70.388715	172	645	18.909938	41	120	0.000000	100	4	1	24441.091200	19403812	37750188
POPULATION	one_bounty_vs_random	2	20	200000	400000	39.005950	2.222000	95.795000	48.103500	0.000000	51.896500	0.308500	0.024500	0.154250	0.012250	17.067600	42.616000	62.108500	244.771300	0.000000	24.400000	4085.069100	1627.466600	8.802585	19	40	75.141000	213	486	19.239932	46	94	0.000000	100	5	1	4085.069100	8285172	48868828
POPULATION	one_bounty_vs_random	5	5	100000	500000	23.838727	11.152400	70.242000	74.006000	0.000000	25.994000	0.907000	0.098000	0.181400	0.019600	10.766600	37.299600	19.828200	88.880900	0.000000	8.200000	2108.965000	1125.933300	8.155944	15	39	69.615454	173	468	18.854720	41	91	0.000000	100	8	1	2108.965000	19599812	8982188
POPULATION	one_bounty_vs_random	5	20	100000	500000	25.512900	2.639600	90.916000	73.498000	0.000000	26.502000	0.942000	0.096000	0.188400	0.019200	25.184300	74.272000	77.704000	389.478000	0.000000	25.166600	15760.104600	5904.866600	8.724584	19	48	74.328514	215	650	19.130220	47	121	0.000000	100	8	3	15760.104600	21452877	7129123
POPULATION	one_bounty_vs_random	10	5	50000	500000	21.404847	11.529600	60.830000	84.016000	0.000000	15.984000	1.748000	0.170000	0.174800	0.017000	14.204400	56.983400	24.789600	112.683700	0.000000	8.366600	3178.273600	1498.933300	8.124418	15	40	69.314486	173	522	18.827958	41	100	0.000000	100	7	4	3178.273600	10701092	3594908
POPULATION	one_bounty_vs_random	10	20	50000	500000	18.139140	2.775400	86.400000	83.262000	0.000000	16.738000	1.722000	0.198000	0.172200	0.019800	31.504000	116.188000	90.637300	406.944000	0.000000	25.466600	44988.613300	22400.533300	8.696322	19	52	74.000454	217	653	19.082976	47	121	0.000000	100	5	4	44988.613300	5918808	8377192
POPULATION	one_bounty_vs_random	20	5	25000	500000	20.737480	11.484200	52.220000	89.772000	0.000000	10.228000	3.032000	0.312000	0.151600	0.015600	19.007200	90.359700	30.916600	154.886800	0.000000	8.566600	2210.958600	811.500000	8.089020	15	39	68.937778	174	425	18.761376	41	83	0.000000	100	8	3	2210.958600	4753346	2400654
POPULATION	one_bounty_vs_random	20	20	25000	500000	23.387727	2.818600	80.972000	89.460000	0.000000	10.540000	2.996000	0.264000	0.149800	0.013200	39.904000	148.120000	101.705300	382.720000	0.000000	25.466600	3862.712000	1568.700000	8.696648	19	41	74.186602	217	485	19.117508	47	93	0.000000	100	8	2	3862.712000	5641587	1512413
POPULATION	one_bounty_vs_random	40	5	12500	500000	15.981933	11.720200	43.008000	94.256000	0.000000	5.744000	4.312000	0.680000	0.107800	0.017000	24.955700	142.787400	37.402100	225.253000	0.000000	8.633300	17264.738200	6615.166600	8.099404	15	48	68.986346	173	534	18.786104	41	102	0.000000	100	2	2	17264.738200	90222	3491778
POPULATION	one_bounty_vs_random	40	20	12500	500000	21.214353	2.781000	74.880000	93.608000	0.000000	6.392000	4.832000	0.520000	0.120800	0.013000	52.390600	235.930300	123.490000	794.879300	0.000000	25.466600	4683.974000	3168.466600	8.671012	19	42	73.629060	217	513	19.022156	47	98	0.000000	100	5	3	4683.974000	2852890	729110
POPULATION	one_bounty_vs_random	80	5	6250	500000	19.535580	11.660200	36.016000	96.176000	0.000000	3.824000	5.696000	0.976000	0.071200	0.012200	30.051200	199.277400	41.561600	258.560800	0.000000	8.733300	2335.681600	1216.133300	8.054300	15	39	68.533054	176	489	18.702678	41	94	0.000000	100	7	4	2335.681600	1237501	558499
POPULATION	one_bounty_vs_random	80	20	6250	500000	20.949147	2.878400	67.504000	95.648000	0.000000	4.352000	6.944000	0.784000	0.086800	0.009800	64.160000	308.986600	126.689300	658.808000	0.000000	25.433300	3950.384500	2312.000000	8.702340	19	42	74.066672	217	533	19.101128	47	101	0.000000	100	5	5	3950.384500	464425	1331575
POPULATION	one_bounty_vs_random	160	5	3125	500000	22.984687	11.298400	26.784000	97.888000	0.000000	2.112000	8.288000	1.376000	0.051800	0.008600	41.194900	251.312000	50.370600	312.162600	0.000000	8.633300	1292.161800	468.333300	8.057632	15	37	68.402412	173	435	18.659550	41	85	0.000000	100	5	5	1292.161800	407327	496673
POPULATION	one_bounty_vs_random	160	20	3125	500000	13.953820	3.123800	59.488000	97.664000	0.000000	2.336000	9.984000	1.408000	0.062400	0.008800	86.276000	483.910000	153.366100	1232.996000	0.000000	26.000000	6811.894600	2879.733300	8.745226	19	43	74.522580	219	457	19.195886	47	89	0.000000	100	5	5	6811.894600	23329	880671
