CONFIG	days	10000	calibration	1	schedule	1	seed	20260828	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
POPULATION_HEADER	composition	heads	goal	fields	seats	engine_edge_pct	goal_seat_pct	all_bust_field_pct	random_winner_pct	picked_winner_pct	bounty_winner_pct	common_field_pct	rare_field_pct	common_per_entry_pct	rare_per_entry_pct	winner_peak_p95_x	winner_peak_p995_x	qualified_peak_p95_x	qualified_peak_p995_x	ending_p50_x	ending_p99_x	max_peak_x	max_ending_x	mean_hands	hands_p99	max_hands	mean_rolls	rolls_p99	max_rolls	mean_work_units	work_p99	max_work_units	cap_seat_pct	record_floor_x	record_hits	first_year_record_hits	final_record_x	dice_only_record_paid	dice_only_record_pool_end
POPULATION	all_random	160	20	3125	500000	10.621253	3.079400	60.320000	100.000000	0.000000	0.000000	10.144000	1.664000	0.063400	0.010400	90.069300	607.086600	189.094000	1081.248600	0.000000	25.800000	106135.000000	22248.933300	8.694304	19	54	74.454508	220	614	19.179408	48	115	0.000000	100	6	6	106135.000000	334928	569072
POPULATION	all_bankroll_pick	1	5	200000	200000	19.676083	11.897500	88.102500	0.000000	100.000000	0.000000	0.299500	0.032000	0.299500	0.032000	6.553300	19.426600	17.726600	75.209000	0.000000	8.133300	1063.317300	422.166600	7.670935	15	36	65.297405	173	463	18.179820	41	90	0.000000	100	8	3	1063.317300	10681734	46472266
POPULATION	all_bankroll_pick	1	20	200000	200000	22.477250	2.858500	97.141500	0.000000	100.000000	0.000000	0.268000	0.023500	0.268000	0.023500	11.840000	38.306600	74.560000	296.320000	0.000000	25.033300	3132.673300	1589.866600	8.272920	19	39	70.541695	214	464	18.512200	47	90	0.000000	100	7	3	3132.673300	37402975	19751025
POPULATION	all_bankroll_pick	2	5	200000	400000	19.081750	11.987500	83.959500	0.000000	100.000000	0.000000	0.515000	0.058000	0.257500	0.029000	7.850600	27.148000	20.152000	91.020000	0.000000	8.133300	3081.405300	1115.333300	7.684345	15	41	65.546750	173	459	18.226675	41	89	0.000000	100	4	1	3081.405300	2726847	54427153
POPULATION	all_bankroll_pick	2	20	200000	400000	22.279142	2.885250	95.668000	0.000000	100.000000	0.000000	0.459500	0.049000	0.229750	0.024500	17.066600	50.600000	80.413300	422.660000	0.000000	25.033300	3749.180000	1363.600000	8.271380	19	40	70.500650	214	519	18.507120	47	99	0.000000	100	8	2	3749.180000	21175781	35978219
POPULATION	all_bankroll_pick	5	5	100000	500000	18.576260	11.946800	77.939000	0.000000	100.000000	0.000000	0.930000	0.104000	0.186000	0.020800	9.956000	38.810000	23.773300	115.560000	0.000000	8.133300	5404.964600	1033.833300	7.662094	15	42	65.273140	171	502	18.179204	41	96	0.000000	100	6	1	5404.964600	13811424	14770576
POPULATION	all_bankroll_pick	5	20	100000	500000	22.483020	2.834600	93.284000	0.000000	100.000000	0.000000	0.921000	0.092000	0.184200	0.018400	23.050000	76.240000	98.938300	491.180000	0.000000	25.000000	4086.880000	1402.333300	8.268858	19	42	70.439442	213	481	18.492430	47	93	0.000000	100	10	2	4086.880000	22706664	5875336
POPULATION	all_bankroll_pick	10	5	50000	500000	18.736587	12.093000	72.418000	0.000000	100.000000	0.000000	1.450000	0.164000	0.145000	0.016400	12.047300	55.413300	27.579300	136.997300	0.000000	8.133300	2707.716000	1445.700000	7.687830	15	39	65.562612	170	539	18.235132	41	102	0.000000	100	4	3	2707.716000	6772414	7523586
POPULATION	all_bankroll_pick	10	20	50000	500000	18.381380	2.953200	90.486000	0.000000	100.000000	0.000000	1.348000	0.164000	0.134800	0.016400	27.640000	96.860000	101.620000	423.226600	0.000000	25.166600	10027.480000	2418.933300	8.292118	19	44	70.733438	213	555	18.550154	47	105	0.000000	100	6	4	10027.480000	4162586	10133414
POPULATION	all_bankroll_pick	20	5	25000	500000	22.361953	11.581200	68.100000	0.000000	100.000000	0.000000	1.928000	0.196000	0.096400	0.009800	14.490600	71.050600	29.760000	143.413300	0.000000	8.100000	990.176000	620.900000	7.654094	15	36	65.165744	171	423	18.140774	41	83	0.000000	100	4	2	990.176000	4347610	2806390
