CONFIG	days	10000	calibration	1	schedule	1	seed	20260829	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
SYSTEM_HEADER	composition	heads	days	action_per_day	risk_bankroll_per_day	engine_credit_per_day	engine_retention_per_day	engine_edge_pct	raw_main_allocation_per_day	allocation_pct_action	progressive_funded_per_day	progressive_paid_per_day	ladder_paid_per_day	net_accrual_after_allocation_per_day	net_cash_per_day	progressive_pool_end	common_per_year	rare_per_year
SYSTEM	standard_mixed	2	5000	31468.560000	31468.560000	23675.860000	7792.700000	24.763446	53774.983400	170.884792	26887.703400	26162.077400	26735.540000	-45982.283400	-45104.917400	4188018.000000	13.213000	1.168000
SYSTEM	standard_mixed	5	5000	78470.100000	78470.100000	62668.100000	15802.000000	20.137607	59414.720800	75.716382	29707.574600	29288.275800	27453.540000	-43612.720800	-40939.815800	2661449.000000	26.353000	2.409000
SYSTEM	standard_mixed	10	5000	156384.600000	156384.600000	120672.560000	35712.040000	22.836034	68758.237400	43.967397	34379.339600	34272.578800	33672.820000	-33046.197400	-32233.358800	1158908.000000	39.128000	5.110000
SYSTEM	standard_mixed	20	5000	314463.600000	314463.600000	223025.160000	91438.440000	29.077591	87746.350400	27.903500	43873.390400	43716.760000	46135.940000	3692.089600	1585.740000	1380437.000000	70.445000	7.227000
SYSTEM	standard_mixed	40	5000	630494.400000	630494.400000	477265.100000	153229.300000	24.303039	125676.630400	19.933029	62838.526600	62836.717600	63240.740000	27552.669600	27151.842400	781347.000000	103.879000	11.242000
SYSTEM	standard_mixed	80	5000	1262884.800000	1262884.800000	980716.060000	282168.740000	22.343189	201534.398600	15.958257	100767.409000	100704.475600	100668.080000	80634.341400	80796.184400	863234.000000	150.745000	17.520000
SYSTEM	standard_mixed	160	5000	2498524.800000	2498524.800000	1925318.760000	573206.040000	22.941779	349810.044600	14.000663	174905.243600	174842.081000	184157.780000	223395.995400	214206.179000	2445382.000000	209.510000	27.302000
SYSTEM	one_bounty_vs_random	1	5000	15672.240000	15672.240000	8509.760000	7162.480000	45.701699	51880.564800	331.034777	25940.494200	15280.066200	25164.800000	-44718.084800	-33282.386200	53842051.000000	1.460000	0.073000
SYSTEM	one_bounty_vs_random	2	5000	31217.640000	31217.640000	20129.520000	11088.120000	35.518764	53745.457800	172.163744	26872.937400	25267.639000	26481.020000	-42657.337800	-40660.539000	8563736.000000	8.906000	0.438000
SYSTEM	one_bounty_vs_random	5	5000	78001.800000	78001.800000	55059.360000	22942.440000	29.412706	59359.127800	76.099690	29679.777000	29030.484600	30458.540000	-36416.687800	-36546.584600	3832906.000000	24.309000	1.971000
SYSTEM	one_bounty_vs_random	10	5000	156852.000000	156852.000000	119430.060000	37421.940000	23.858121	68815.837800	43.873102	34408.126800	33835.731400	35463.600000	-31393.897800	-31877.391400	3126613.000000	45.333000	4.745000
SYSTEM	one_bounty_vs_random	20	5000	314998.800000	314998.800000	241164.340000	73834.460000	23.439600	87788.231200	27.869386	43894.326200	43712.384200	43570.680000	-13953.771200	-13448.604200	1232912.000000	72.635000	8.322000
SYSTEM	one_bounty_vs_random	40	5000	621633.600000	621633.600000	532110.140000	89523.460000	14.401323	124594.372200	20.043056	62297.396800	62048.887400	56311.200000	-35070.912200	-28836.627400	1912619.000000	112.931000	15.914000
SYSTEM	one_bounty_vs_random	80	5000	1253088.000000	1253088.000000	1011344.280000	241743.720000	19.291839	200319.773000	15.986090	100160.100200	100235.384800	102405.220000	41423.947000	39103.115200	741544.000000	171.258000	20.513000
SYSTEM	one_bounty_vs_random	160	5000	2506972.800000	2506972.800000	1980502.000000	526470.800000	21.000260	350720.281600	13.989792	175360.358800	175247.339600	184900.300000	175750.518400	166323.160400	1763953.000000	228.490000	34.164000
